distance_km,trip_duration_min,time_of_day,traffic_level,weather_condition,demand_level,pickup_zone,ride_price
11.86,35.1,morning,medium,snowy,medium,airport,74.07
28.57,60.7,afternoon,high,rainy,medium,airport,152.02
22.23,49.8,morning,low,rainy,high,airport,112.61
18.36,61.5,morning,low,rainy,high,airport,115.95
5.52,16.1,afternoon,low,snowy,high,downtown,32.44
5.52,11.1,night,low,rainy,medium,suburbs,20.48
2.68,5.8,night,low,rainy,high,downtown,12.76
26.12,78.2,morning,low,clear,high,airport,137.97
18.43,37,afternoon,low,rainy,low,downtown,53.08
21.53,48.3,morning,medium,rainy,low,airport,85.59
1.6,4.5,evening,high,snowy,medium,airport,14.62
29.13,88.5,evening,low,snowy,high,downtown,158.52
25.14,74.9,morning,medium,snowy,high,airport,175.08
7.16,16.7,night,medium,snowy,low,suburbs,24.81
6.27,19.2,night,high,snowy,medium,airport,49.15
6.32,14.9,morning,low,snowy,low,suburbs,23.5
9.82,24.4,morning,high,rainy,low,suburbs,37.94
16.22,50.6,evening,low,snowy,low,airport,75.48
13.53,40.2,night,medium,snowy,low,downtown,63.12
9.45,30.9,morning,medium,clear,high,suburbs,45.79
18.74,56,evening,medium,rainy,high,downtown,100.68
5.05,14.4,night,medium,rainy,low,suburbs,22.76
9.47,20.3,afternoon,high,rainy,medium,airport,52.14
11.62,29.6,evening,low,snowy,medium,airport,66.41
14.23,34.1,night,low,snowy,medium,suburbs,55.1
23.77,56.2,night,high,snowy,medium,airport,146.14
6.79,23.5,evening,low,clear,low,suburbs,18.24
15.91,41.2,afternoon,medium,snowy,high,airport,103.02
18.18,60.7,evening,low,clear,medium,downtown,74.83
2.35,6.9,night,medium,rainy,low,airport,15.06
18.62,59.4,morning,high,snowy,medium,downtown,116.58
5.95,16.4,morning,low,clear,medium,airport,28.8
2.89,8.3,evening,high,clear,low,downtown,14.2
28.52,78.1,night,low,snowy,high,airport,175.81
29,66.5,morning,medium,rainy,high,downtown,139.46
24.44,75.4,night,high,rainy,low,suburbs,99.55
9.83,23.8,evening,low,rainy,high,suburbs,39.99
3.83,7.8,morning,medium,clear,low,downtown,8.56
20.84,61.9,night,high,clear,low,airport,94.12
13.76,31.2,morning,high,clear,low,downtown,45.22
4.54,15.5,evening,low,clear,high,airport,33.77
15.36,52.7,night,low,rainy,low,suburbs,53.07
2,6.7,morning,low,snowy,medium,airport,14.73
27.37,69.9,evening,medium,clear,high,suburbs,105.21
8.5,17.2,morning,low,clear,high,airport,38.23
20.21,68.6,morning,high,rainy,high,airport,158.4
10.04,26.5,afternoon,high,snowy,high,airport,82.53
16.08,55.5,afternoon,low,snowy,medium,downtown,82.09
16.85,58.1,evening,low,rainy,high,downtown,91.67
6.36,20.9,afternoon,high,rainy,high,suburbs,41.15
29.12,71.1,evening,medium,snowy,low,suburbs,101.94
23.48,60.5,afternoon,low,clear,high,downtown,92.92
28.25,92.6,morning,low,snowy,medium,suburbs,125.38
26.95,66.7,evening,high,rainy,medium,downtown,132.62
18.34,41.3,evening,low,clear,medium,airport,71.37
27.73,78.6,morning,medium,clear,medium,suburbs,98.6
3.57,12.2,evening,high,rainy,high,suburbs,24.02
6.68,20.3,evening,low,rainy,high,downtown,36.05
2.31,6.6,afternoon,high,rainy,medium,suburbs,15.91
10.43,22.4,evening,low,snowy,medium,suburbs,36.26
12.27,35.9,night,low,snowy,high,airport,81.68
8.87,30.9,morning,low,clear,medium,suburbs,34.73
25.03,55.3,afternoon,medium,rainy,low,airport,98.68
11.35,31.5,afternoon,medium,clear,medium,downtown,44.96
9.15,30.3,night,high,clear,medium,suburbs,41.99
16.74,52.1,morning,low,clear,low,airport,64.42
5.09,15.5,morning,low,clear,low,downtown,17.74
24.26,74.1,afternoon,medium,rainy,high,suburbs,120.6
3.16,8,evening,low,clear,high,downtown,16.79
29.62,72.3,afternoon,medium,rainy,low,suburbs,94.87
23.4,75.2,morning,low,rainy,low,downtown,83.75
6.76,21.7,night,high,snowy,high,downtown,52.79
1.16,3.8,afternoon,low,rainy,medium,airport,15.39
24.65,83.1,morning,low,snowy,low,downtown,102.18
21.5,59.5,afternoon,medium,rainy,high,suburbs,99.41
22.14,60.9,evening,low,rainy,medium,suburbs,82.49
23.37,74.7,afternoon,low,rainy,low,airport,97.84
3.15,9.4,afternoon,medium,snowy,medium,suburbs,24.45
11.4,34.8,morning,high,snowy,high,suburbs,77.93
4.36,13.9,morning,high,clear,low,suburbs,17.02
26.03,86.8,morning,medium,snowy,medium,downtown,135.51
19.08,47.8,afternoon,medium,snowy,low,downtown,72.8
10.6,27.2,evening,medium,snowy,medium,suburbs,47.19
2.84,6.1,night,medium,snowy,high,airport,18.89
10.02,28.7,night,medium,clear,high,downtown,48.77
10.43,21.4,morning,high,snowy,low,airport,51.86
22.16,59.8,morning,high,rainy,medium,suburbs,102.01
19.49,54.8,afternoon,medium,rainy,low,suburbs,67.87
26.73,64.9,night,low,snowy,low,downtown,90.23
14.69,42.4,morning,medium,snowy,medium,suburbs,66.48
4.47,9.1,evening,low,rainy,medium,downtown,18.94
21.68,44.6,evening,medium,rainy,medium,suburbs,75.88
23.06,74.6,morning,medium,clear,high,suburbs,105.72
17.28,43.9,morning,high,rainy,low,downtown,71.52
23.36,51.2,night,low,rainy,low,downtown,74.74
15.32,42.6,night,low,snowy,high,downtown,82.85
16.16,51,afternoon,high,rainy,medium,suburbs,83.96
13.4,31.1,night,high,clear,high,suburbs,59.99
1.74,5.1,evening,high,rainy,high,airport,18.99
4.13,8.8,evening,high,snowy,high,downtown,31.99
